course_id,name,type,credit,total_hours,lecture_hours,lab_hours,semester
C0001,哲学基础,required,5,80,68,12,summer
C0002,逻辑学导论,general,5,80,62,18,spring
C0003,宗教学实践,general,5,80,72,8,fall
C0004,伦理学导论,required,5,80,64,16,spring
C0005,经济学导论,general,3,48,45,3,summer
C0006,经济统计学基础,required,3,48,46,2,fall
C0007,国民经济管理基础,required,3,48,40,8,fall
C0008,资源与环境经济学基础,general,5,80,58,22,spring
C0009,商务经济学概论,general,2,32,24,8,spring
C0010,能源经济导论,required,5,80,69,11,summer
C0011,劳动经济学基础,required,5,80,78,2,summer
C0012,经济工程概论,required,4,64,58,6,spring
C0013,数字经济实践,general,2,32,26,6,fall
C0014,财政学概论,elective,3,48,34,14,summer
C0015,税收学基础,general,2,32,24,8,fall
C0016,国际税收实践,general,2,32,31,1,fall
C0017,金融学概论,general,2,32,25,7,summer
C0018,金融工程概论,general,3,48,46,2,summer
C0019,保险学导论,elective,5,80,70,10,spring
C0020,投资学概论,general,3,48,46,2,summer
C0021,金融数学导论,general,3,48,45,3,spring
C0022,信用管理实践,required,2,32,29,3,spring
C0023,经济与金融实践,elective,3,48,35,13,summer
C0024,精算学基础,required,4,64,52,12,spring
C0025,互联网金融导论,elective,4,64,50,14,spring
C0026,金融科技基础,elective,3,48,42,6,spring
C0027,金融审计导论,elective,5,80,60,20,fall
C0028,国际经济与贸易实践,general,2,32,28,4,spring
C0029,贸易经济实践,elective,3,48,37,11,fall
C0030,国际经济发展合作实践,general,5,80,66,14,summer
C0031,法学实践,general,2,32,32,0,fall
C0032,知识产权实践,general,5,80,68,12,spring
C0033,监狱学导论,general,5,80,73,7,fall
C0034,信用风险管理与法律防控导论,elective,5,80,67,13,fall
C0035,国际经贸规则基础,general,2,32,26,6,summer
C0036,司法警察学导论,required,2,32,26,6,spring
C0037,社区矫正实践,general,2,32,24,8,fall
C0038,纪检监察实践,elective,5,80,56,24,summer
C0039,国际法实践,required,4,64,59,5,fall
C0040,司法鉴定学基础,general,4,64,57,7,summer
C0041,国家安全学概论,general,3,48,39,9,spring
C0042,海外利益安全导论,elective,2,32,24,8,summer
C0043,政治学与行政学基础,required,2,32,32,0,spring
C0044,国际政治概论,elective,2,32,32,0,summer
C0045,外交学概论,general,5,80,74,6,spring
C0046,国际事务与国际关系概论,elective,3,48,42,6,summer
C0047,政治学、经济学与哲学实践,general,5,80,62,18,fall
C0048,国际组织与全球治理概论,required,3,48,36,12,spring
C0049,社会学导论,elective,4,64,52,12,summer
C0050,社会工作导论,general,4,64,48,16,fall
C0051,人类学基础,required,3,48,42,6,fall
C0052,女性学导论,elective,4,64,61,3,fall
C0053,家政学基础,elective,3,48,36,12,spring
C0054,老年学基础,general,4,64,55,9,summer
C0055,社会政策基础,general,2,32,32,0,summer
C0056,民族学导论,required,2,32,32,0,spring
C0057,科学社会主义导论,general,2,32,23,9,fall
C0058,中国共产党历史导论,required,2,32,29,3,summer
C0059,思想政治教育导论,general,5,80,59,21,summer
C0060,马克思主义理论导论,elective,5,80,57,23,fall
C0061,工会学实践,general,3,48,41,7,fall
C0062,治安学导论,elective,4,64,63,1,fall
C0063,侦查学概论,elective,4,64,59,5,spring
C0064,边防管理导论,general,3,48,44,4,fall
C0065,禁毒学基础,elective,2,32,31,1,fall
C0066,警犬技术实践,required,4,64,52,12,fall
C0067,经济犯罪侦查导论,elective,2,32,29,3,fall
C0068,边防指挥基础,general,5,80,67,13,fall
C0069,消防指挥实践,required,3,48,42,6,spring
C0070,警卫学基础,general,2,32,25,7,spring
C0071,公安情报学概论,elective,3,48,37,11,summer
C0072,犯罪学基础,elective,4,64,47,17,summer
C0073,公安管理学实践,required,3,48,46,2,spring
C0074,涉外警务导论,general,5,80,66,14,summer
C0075,国内安全保卫实践,general,3,48,44,4,spring
C0076,警务指挥与战术概论,general,2,32,30,2,fall
C0077,技术侦查学导论,required,5,80,78,2,summer
C0078,海警执法实践,required,2,32,30,2,spring
C0079,公安政治工作概论,required,3,48,36,12,summer
C0080,移民管理实践,required,4,64,61,3,fall
C0081,出入境管理基础,general,3,48,35,13,summer
C0082,反恐警务概论,general,4,64,59,5,summer
C0083,消防政治工作导论,required,4,64,61,3,fall
C0084,铁路警务导论,general,2,32,27,5,summer
C0085,教育学基础,elective,4,64,53,11,spring
C0086,科学教育导论,general,4,64,45,19,fall
C0087,人文教育实践,elective,3,48,36,12,fall
C0088,教育技术学基础,elective,4,64,58,6,spring
C0089,艺术教育基础,general,2,32,29,3,summer
C0090,学前教育实践,required,4,64,56,8,spring
C0091,小学教育实践,required,4,64,52,12,spring
C0092,特殊教育概论,required,2,32,25,7,fall
C0093,华文教育实践,required,5,80,69,11,summer
C0094,教育康复学实践,required,5,80,66,14,fall
C0095,卫生教育基础,general,3,48,47,1,fall
C0096,认知科学与技术基础,elective,5,80,58,22,summer
C0097,融合教育实践,general,3,48,37,11,fall
C0098,劳动教育基础,required,4,64,53,11,spring
C0099,家庭教育概论,elective,4,64,64,0,spring
C0100,孤独症儿童教育导论,required,3,48,37,11,fall
C0101,体育教育基础,elective,2,32,25,7,fall
C0102,运动训练实践,general,5,80,62,18,spring
C0103,社会体育指导与管理概论,required,3,48,37,11,summer
C0104,武术与民族传统体育概论,general,4,64,61,3,spring
C0105,运动人体科学概论,required,3,48,44,4,spring
C0106,运动康复基础,required,3,48,44,4,fall
C0107,休闲体育导论,required,3,48,36,12,spring
C0108,体能训练实践,required,2,32,28,4,spring
C0109,冰雪运动基础,general,2,32,23,9,summer
C0110,电子竞技运动与管理基础,required,4,64,48,16,fall
C0111,智能体育工程实践,required,3,48,37,11,spring
C0112,体育旅游概论,required,3,48,41,7,summer
C0113,运动能力开发导论,required,2,32,24,8,fall
C0114,足球运动导论,general,2,32,25,7,summer
C0115,马术运动与管理实践,elective,5,80,72,8,fall
C0116,体育康养基础,elective,3,48,44,4,fall
C0117,汉语言文学导论,required,4,64,55,9,fall
C0118,汉语言基础,general,3,48,36,12,spring
C0119,汉语国际教育基础,elective,4,64,48,16,summer
C0120,中国少数民族语言文学概论,elective,3,48,43,5,spring
C0121,古典文献学实践,required,2,32,32,0,summer
C0122,应用语言学实践,required,2,32,26,6,spring
C0123,秘书学实践,general,5,80,77,3,spring
C0124,中国语言与文化基础,general,3,48,40,8,fall
C0125,手语翻译导论,required,3,48,43,5,fall
C0126,数字人文导论,elective,4,64,47,17,spring
C0127,中国古典学概论,general,2,32,29,3,summer
C0128,汉学与中国学概论,elective,4,64,54,10,fall
C0129,应用中文导论,required,4,64,64,0,fall
C0130,英语基础,general,2,32,24,8,fall
C0131,俄语概论,general,5,80,61,19,fall
C0132,德语基础,required,5,80,60,20,spring
C0133,法语导论,general,4,64,56,8,spring
C0134,西班牙语实践,general,2,32,24,8,spring
C0135,阿拉伯语实践,required,4,64,61,3,fall
C0136,日语导论,elective,4,64,50,14,spring
C0137,波斯语实践,general,5,80,59,21,fall
C0138,朝鲜语实践,elective,4,64,53,11,summer
C0139,菲律宾语导论,elective,3,48,34,14,summer
C0140,梵语巴利语基础,required,2,32,29,3,summer
C0141,印度尼西亚语概论,elective,4,64,49,15,summer
C0142,印地语概论,elective,5,80,75,5,summer
C0143,柬埔寨语基础,elective,4,64,52,12,fall
C0144,老挝语基础,elective,2,32,23,9,fall
C0145,缅甸语实践,general,2,32,28,4,fall
C0146,马来语基础,required,3,48,41,7,spring
C0147,蒙古语实践,general,5,80,66,14,fall
C0148,僧伽罗语实践,general,2,32,24,8,spring
C0149,泰语概论,elective,5,80,76,4,spring
C0150,乌尔都语概论,required,3,48,46,2,spring
C0151,希伯来语实践,required,5,80,65,15,fall
C0152,越南语导论,general,4,64,54,10,summer
C0153,豪萨语概论,elective,4,64,54,10,summer
C0154,斯瓦希里语概论,elective,5,80,67,13,summer
C0155,阿尔巴尼亚语导论,general,4,64,50,14,fall
C0156,保加利亚语概论,required,4,64,45,19,spring
C0157,波兰语基础,general,5,80,62,18,spring
C0158,捷克语实践,general,4,64,56,8,spring
C0159,斯洛伐克语概论,general,5,80,56,24,spring
C0160,罗马尼亚语实践,elective,5,80,57,23,spring
C0161,葡萄牙语导论,elective,5,80,75,5,summer
C0162,瑞典语基础,required,2,32,24,8,fall
C0163,塞尔维亚语实践,required,3,48,48,0,spring
C0164,土耳其语基础,elective,2,32,32,0,fall
C0165,希腊语基础,required,2,32,26,6,spring
C0166,匈牙利语导论,elective,4,64,53,11,fall
C0167,意大利语基础,required,2,32,27,5,spring
C0168,泰米尔语导论,required,2,32,24,8,spring
C0169,普什图语概论,general,2,32,27,5,spring
C0170,世界语概论,required,3,48,38,10,summer
C0171,孟加拉语基础,required,5,80,66,14,fall
C0172,尼泊尔语导论,general,5,80,64,16,spring
C0173,克罗地亚语实践,elective,4,64,54,10,summer
C0174,荷兰语概论,required,2,32,23,9,summer
C0175,芬兰语导论,general,3,48,34,14,summer
C0176,乌克兰语导论,general,5,80,63,17,spring
C0177,挪威语基础,elective,2,32,25,7,summer
C0178,丹麦语基础,required,4,64,53,11,fall
C0179,冰岛语基础,general,4,64,56,8,spring
C0180,爱尔兰语实践,elective,5,80,72,8,summer
C0181,拉脱维亚语概论,general,2,32,26,6,spring
C0182,立陶宛语基础,general,4,64,46,18,summer
C0183,斯洛文尼亚语实践,elective,2,32,31,1,spring
C0184,爱沙尼亚语导论,general,4,64,52,12,spring
C0185,马耳他语实践,elective,2,32,24,8,spring
C0186,哈萨克语基础,general,2,32,27,5,spring
C0187,乌兹别克语导论,required,4,64,48,16,fall
C0188,祖鲁语导论,elective,4,64,55,9,spring
C0189,拉丁语基础,general,5,80,66,14,summer
C0190,翻译实践,elective,3,48,47,1,fall
C0191,商务英语导论,required,5,80,73,7,spring
C0192,阿姆哈拉语概论,required,4,64,56,8,summer
C0193,吉尔吉斯语导论,required,4,64,62,2,spring
C0194,索马里语基础,required,5,80,70,10,spring
C0195,土库曼语导论,required,5,80,65,15,summer
C0196,加泰罗尼亚语实践,required,3,48,46,2,spring
C0197,约鲁巴语导论,required,4,64,49,15,fall
C0198,亚美尼亚语概论,required,5,80,73,7,fall
C0199,马达加斯加语基础,required,5,80,74,6,spring
C0200,格鲁吉亚语概论,general,2,32,29,3,fall
C0201,阿塞拜疆语基础,general,5,80,56,24,spring
C0202,阿非利卡语导论,elective,3,48,42,6,summer
C0203,马其顿语导论,general,2,32,23,9,summer
C0204,塔吉克语基础,required,5,80,76,4,spring
C0205,茨瓦纳语基础,general,4,64,55,9,summer
C0206,恩德贝莱语导论,elective,4,64,55,9,fall
C0207,科摩罗语导论,required,5,80,76,4,spring
C0208,克里奥尔语概论,elective,3,48,38,10,summer
C0209,绍纳语导论,elective,2,32,26,6,summer
C0210,提格雷尼亚语概论,general,4,64,52,12,summer
C0211,白俄罗斯语概论,required,5,80,66,14,fall
C0212,毛利语概论,elective,2,32,30,2,spring
C0213,汤加语实践,elective,5,80,75,5,fall
C0214,萨摩亚语实践,required,4,64,55,9,fall
C0215,库尔德语实践,required,4,64,59,5,summer
C0216,比斯拉马语概论,required,3,48,42,6,summer
C0217,达里语导论,elective,3,48,43,5,summer
C0218,德顿语基础,elective,4,64,62,2,fall
C0219,迪维希语导论,required,2,32,24,8,fall
C0220,斐济语实践,elective,5,80,78,2,fall
C0221,库克群岛毛利语基础,general,5,80,75,5,spring
C0222,隆迪语实践,general,5,80,61,19,fall
C0223,卢森堡语导论,general,5,80,68,12,summer
C0224,卢旺达语概论,required,2,32,27,5,spring
C0225,纽埃语导论,required,5,80,77,3,fall
C0226,皮金语概论,elective,4,64,46,18,fall
C0227,切瓦语实践,elective,2,32,25,7,summer
C0228,塞苏陀语基础,elective,2,32,26,6,spring
C0229,桑戈语导论,general,3,48,36,12,summer
C0230,语言学基础,general,4,64,48,16,spring
C0231,塔玛齐格特语导论,general,3,48,39,9,summer
C0232,爪哇语导论,required,4,64,51,13,summer
C0233,旁遮普语导论,general,4,64,59,5,summer
C0234,新闻学概论,elective,3,48,39,9,spring
C0235,广播电视学基础,general,3,48,39,9,fall
C0236,广告学实践,elective,4,64,51,13,spring
C0237,传播学基础,required,4,64,46,18,fall
C0238,编辑出版学基础,general,4,64,56,8,spring
C0239,网络与新媒体基础,required,2,32,25,7,summer
C0240,数字出版实践,general,3,48,39,9,fall
C0241,时尚传播概论,required,3,48,45,3,summer
C0242,国际新闻与传播实践,general,3,48,38,10,spring
C0243,会展导论,elective,2,32,28,4,summer
C0244,历史学导论,general,2,32,29,3,fall
C0245,世界史导论,required,4,64,55,9,fall
C0246,考古学概论,general,2,32,25,7,summer
C0247,文物与博物馆学导论,general,3,48,40,8,fall
C0248,文物保护技术基础,required,3,48,43,5,spring
C0249,外国语言与外国历史基础,general,2,32,26,6,fall
C0250,文化遗产概论,general,5,80,80,0,summer
C0251,古文字学实践,required,5,80,56,24,summer
C0252,科学史导论,elective,2,32,26,6,spring
C0253,数学与应用数学实践,required,2,32,29,3,summer
C0254,信息与计算科学基础,general,2,32,27,5,fall
C0255,数理基础科学概论,general,5,80,61,19,spring
C0256,数据计算及应用概论,general,5,80,80,0,spring
C0257,物理学基础,required,4,64,64,0,summer
C0258,应用物理学基础,required,2,32,32,0,fall
C0259,核物理实践,elective,2,32,27,5,fall
C0260,声学基础,elective,4,64,51,13,summer
C0261,系统科学与工程导论,elective,5,80,62,18,summer
C0262,量子信息科学基础,required,4,64,53,11,spring
C0263,化学导论,general,5,80,69,11,fall
C0264,应用化学导论,required,5,80,61,19,summer
C0265,化学生物学基础,general,2,32,29,3,fall
C0266,分子科学与工程导论,elective,3,48,46,2,spring
C0267,能源化学实践,required,5,80,56,24,fall
C0268,化学测量学与技术实践,required,3,48,46,2,fall
C0269,资源化学导论,required,5,80,57,23,fall
C0270,天文学导论,elective,4,64,50,14,spring
C0271,地理科学基础,elective,2,32,26,6,summer
C0272,自然地理与资源环境导论,general,4,64,50,14,fall
C0273,人文地理与城乡规划概论,elective,3,48,41,7,fall
C0274,地理信息科学概论,general,4,64,57,7,fall
C0275,大气科学实践,elective,2,32,29,3,summer
C0276,应用气象学导论,general,3,48,46,2,fall
C0277,气象技术与工程导论,elective,3,48,43,5,fall
C0278,地球系统科学概论,elective,4,64,57,7,summer
C0279,海洋科学概论,general,5,80,66,14,spring
C0280,海洋技术实践,elective,5,80,76,4,summer
C0281,海洋资源与环境导论,elective,2,32,25,7,summer
C0282,军事海洋学概论,general,3,48,38,10,fall
C0283,地球物理学实践,elective,3,48,43,5,fall
C0284,空间科学与技术基础,elective,2,32,29,3,fall
C0285,防灾减灾科学与工程概论,required,5,80,56,24,summer
C0286,行星科学实践,required,5,80,58,22,summer
C0287,地质学导论,elective,5,80,79,1,summer
C0288,地球化学实践,required,5,80,74,6,spring
C0289,地球信息科学与技术实践,required,5,80,72,8,fall
C0290,古生物学导论,elective,5,80,56,24,spring
C0291,生物科学基础,required,5,80,57,23,summer
C0292,生物技术基础,required,5,80,67,13,summer
C0293,生物信息学导论,required,3,48,40,8,fall
C0294,生态学概论,general,2,32,24,8,summer
C0295,整合科学实践,elective,5,80,61,19,fall
C0296,神经科学导论,required,3,48,39,9,summer
C0297,心理学概论,general,2,32,27,5,fall
C0298,应用心理学实践,required,5,80,59,21,summer
C0299,统计学导论,general,4,64,62,2,spring
C0300,应用统计学概论,elective,3,48,45,3,summer
C0301,数据科学导论,general,4,64,45,19,spring
C0302,生物统计学概论,general,5,80,56,24,fall
C0303,理论与应用力学实践,elective,3,48,34,14,summer
C0304,工程力学实践,required,3,48,37,11,summer
C0305,机械工程导论,required,4,64,55,9,fall
C0306,机械设计制造及其自动化概论,general,5,80,75,5,spring
C0307,材料成型及控制工程实践,elective,4,64,63,1,fall
C0308,机械电子工程概论,general,3,48,48,0,spring
C0309,工业设计概论,elective,5,80,68,12,spring
C0310,过程装备与控制工程实践,general,2,32,29,3,summer
C0311,车辆工程实践,required,4,64,59,5,summer
C0312,汽车服务工程基础,general,3,48,44,4,summer
C0313,机械工艺技术基础,general,5,80,63,17,summer
C0314,微机电系统工程基础,elective,2,32,29,3,fall
C0315,机电技术教育概论,general,4,64,60,4,spring
C0316,汽车维修工程教育实践,general,4,64,64,0,summer
C0317,智能制造工程实践,elective,3,48,41,7,spring
C0318,智能车辆工程概论,elective,4,64,56,8,fall
C0319,仿生科学与工程导论,elective,4,64,51,13,summer
C0320,新能源汽车工程导论,elective,4,64,54,10,summer
C0321,增材制造工程基础,elective,4,64,52,12,fall
C0322,智能交互设计导论,general,5,80,79,1,summer
C0323,应急装备技术与工程基础,required,3,48,40,8,summer
C0324,农林智能装备工程导论,elective,3,48,39,9,summer
C0325,测控技术与仪器概论,elective,5,80,62,18,summer
C0326,精密仪器基础,elective,3,48,45,3,fall
C0327,智能感知工程基础,required,2,32,23,9,fall
C0328,材料科学与工程概论,required,2,32,29,3,fall
C0329,材料物理实践,required,2,32,30,2,summer
C0330,材料化学概论,elective,5,80,74,6,summer
C0331,冶金工程导论,required,3,48,39,9,summer
C0332,金属材料工程概论,required,2,32,25,7,spring
C0333,无机非金属材料工程概论,elective,5,80,62,18,fall
C0334,高分子材料与工程导论,required,5,80,79,1,summer
C0335,复合材料与工程概论,elective,3,48,40,8,summer
C0336,粉体材料科学与工程实践,general,4,64,56,8,summer
C0337,宝石及材料工艺学导论,elective,3,48,38,10,spring
C0338,焊接技术与工程导论,elective,4,64,49,15,spring
C0339,功能材料基础,general,5,80,73,7,summer
C0340,纳米材料与技术概论,required,5,80,75,5,summer
C0341,新能源材料与器件概论,elective,4,64,53,11,fall
C0342,材料设计科学与工程实践,elective,2,32,23,9,fall
C0343,复合材料成型工程基础,general,2,32,25,7,summer
C0344,智能材料与结构基础,general,3,48,41,7,summer
C0345,光电信息材料与器件概论,elective,2,32,30,2,summer
C0346,生物材料实践,required,4,64,51,13,summer
C0347,材料智能技术概论,elective,2,32,24,8,spring
C0348,电子信息材料导论,general,5,80,71,9,spring
C0349,软物质科学与工程导论,general,2,32,24,8,summer
C0350,稀土材料科学与工程基础,required,4,64,61,3,summer
C0351,能源与动力工程导论,general,5,80,68,12,summer
C0352,能源与环境系统工程基础,required,3,48,44,4,spring
C0353,新能源科学与工程概论,elective,2,32,23,9,summer
C0354,储能科学与工程基础,required,5,80,64,16,summer
C0355,能源服务工程概论,elective,4,64,46,18,spring
C0356,氢能科学与工程概论,elective,3,48,40,8,fall
C0357,可持续能源基础,general,4,64,53,11,spring
C0358,电气工程及其自动化基础,elective,5,80,58,22,summer
C0359,智能电网信息工程基础,general,5,80,74,6,fall
C0360,光源与照明导论,elective,5,80,63,17,spring
C0361,电气工程与智能控制实践,elective,2,32,29,3,fall
C0362,电机电器智能化导论,elective,4,64,59,5,summer
C0363,电缆工程基础,general,4,64,55,9,summer
C0364,能源互联网工程基础,general,3,48,43,5,spring
C0365,智慧能源工程实践,general,3,48,47,1,summer
C0366,电动载运工程基础,general,3,48,34,14,summer
C0367,大功率半导体科学与工程实践,required,2,32,26,6,fall
C0368,电子信息工程导论,general,2,32,23,9,summer
C0369,电子科学与技术概论,general,3,48,46,2,fall
C0370,通信工程概论,general,4,64,52,12,fall
C0371,微电子科学与工程导论,elective,4,64,50,14,spring
C0372,光电信息科学与工程基础,general,5,80,78,2,fall
C0373,信息工程导论,required,4,64,62,2,summer
C0374,广播电视工程实践,required,5,80,61,19,spring
C0375,水声工程导论,required,3,48,46,2,spring
C0376,电子封装技术实践,elective,4,64,61,3,summer
C0377,集成电路设计与集成系统概论,required,3,48,42,6,fall
C0378,医学信息工程实践,elective,3,48,47,1,fall
C0379,电磁场与无线技术基础,required,2,32,23,9,fall
C0380,电波传播与天线导论,required,3,48,40,8,spring
C0381,电子信息科学与技术概论,general,4,64,45,19,summer
C0382,电信工程及管理概论,general,4,64,62,2,summer
C0383,应用电子技术教育基础,elective,5,80,65,15,spring
C0384,人工智能实践,required,4,64,46,18,spring
C0385,海洋信息工程概论,general,5,80,65,15,summer
C0386,柔性电子学实践,elective,4,64,57,7,summer
C0387,智能测控工程基础,elective,2,32,32,0,summer
C0388,智能视觉工程基础,general,4,64,52,12,fall
C0389,自动化基础,required,3,48,41,7,summer
C0390,轨道交通信号与控制实践,general,3,48,48,0,fall
C0391,机器人工程实践,general,5,80,68,12,spring
C0392,邮政工程基础,elective,4,64,61,3,summer
C0393,核电技术与控制工程概论,general,2,32,31,1,spring
C0394,智能装备与系统基础,required,3,48,43,5,fall
C0395,工业智能概论,required,4,64,52,12,summer
C0396,智能工程与创意设计概论,required,3,48,40,8,summer
C0397,计算机科学与技术导论,elective,4,64,54,10,spring
C0398,软件工程基础,required,3,48,38,10,summer
C0399,网络工程概论,elective,4,64,48,16,summer
C0400,信息安全概论,elective,4,64,47,17,summer
C0401,物联网工程实践,required,4,64,52,12,fall
C0402,数字媒体技术导论,general,2,32,26,6,fall
C0403,智能科学与技术实践,required,5,80,72,8,fall
C0404,空间信息与数字技术实践,elective,5,80,70,10,spring
C0405,电子与计算机工程概论,general,2,32,24,8,fall
C0406,数据科学与大数据技术实践,elective,4,64,58,6,spring
C0407,网络空间安全概论,required,4,64,60,4,summer
C0408,新媒体技术概论,required,2,32,32,0,spring
C0409,电影制作实践,elective,3,48,41,7,fall
